Pair,Distance,Num zero-crossings,Pearson r,Spread mean,Spread SD,Hurst Exponent,Half-life of mean reversion,Hedge ratio
NX-RNR,1.8204778912152966,42.0,0.3362432907748902,0.5771993621478223,0.06629789447792811,0.3865052530084406,17.063556415083827,0.25931859327380513
NX-KNX,1.7292070597841722,50.0,0.446950571701995,0.7177822786152446,0.06297400684362459,0.37239659186971485,15.952425716610923,0.12114774777609649
NX-NLSN,1.790196893360249,36.0,0.3772533383762984,0.6487153880063558,0.06519512557852654,0.38896925604617477,17.067653044617508,0.18077150025807143
NX-VNO,1.740924002613678,46.0,0.4346072217199494,0.632427940513626,0.06340071273390922,0.3848247604256092,16.174444540757385,0.20715523509762468
NX-JAZZ,1.7148650256089093,46.0,0.461501958680009,0.7434072523583479,0.06245170076512796,0.37600260205314334,15.278159807786123,0.08237233421452234
NX-BC,1.6220323552611917,40.0,0.5439545041698713,0.5858535632335958,0.059070934312255234,0.37034009378317856,14.201653785074619,0.22865038717745811
NX-ORI,1.847510687290882,42.0,0.2941481175465905,0.6872022364920557,0.0672823708455406,0.3983316312833852,18.27589174065181,0.14934641512834101
NX-TOL,1.6233726707892757,58.0,0.5428833923204621,0.28766097152027703,0.05911974572483921,0.3739010317128642,17.11664933628309,0.5754311319529588
NX-AN,1.6744568482083573,44.0,0.49963660453779196,0.529323943862286,0.060980121739491605,0.38562681134486043,15.078323944783254,0.28298659996621156
NX-FAF,1.679493860760939,50.0,0.4950914465118328,0.6913668270627904,0.061163558917337414,0.3947653947690192,15.361096775558897,0.16648177974122014
NX-IPG,1.809844576478589,46.0,0.3512697472340582,0.697242991020955,0.06591065199518958,0.39100206678404886,17.129513161877725,0.13479747133125874
NX-FR,1.7516051288357808,38.0,0.4229657022866348,0.5882303083243878,0.0637896964082485,0.4000003381152344,16.42640928480311,0.23259424684027685
NX-ALK,1.7340713412098299,36.0,0.44187819335334094,0.7466962886503525,0.06315115352484794,0.3897549787469331,15.288788441847764,0.08335284586162295
NX-STWD,1.7881079769329495,48.0,0.37989538728327965,0.582045986604755,0.06511905172916066,0.38965074743316247,16.90329103697352,0.2432364518029173
NX-LDOS,1.8540121673902383,46.0,0.28298880459006165,0.7330593287541204,0.06751914078581693,0.38298770213106414,17.680734783729772,0.10847346658396684
NX-SF,1.63608114305759,62.0,0.532575544749264,0.5654544127665131,0.059582560987516076,0.36610851995089505,15.297299071505417,0.24998928045328772
