,BRK.B,JPM,BAC,WFC,MS,C,GS,BLK,SCHW,SPGI,AXP,PNC,MMC,TFC,CB,XLF,SPY
2019-10-21,211.49,116.29803642,29.6195041358,47.4283430059,42.3521911931,66.42237507,200.72477047,432.802657802,39.5875952617,246.851974338,115.622556021,135.977025769,96.5702995498,49.1907744672,146.678643113,27.2695882259,27.2695882259
2019-10-22,210.62,117.46525265,29.7913774673,47.5787301419,42.7288225066,66.6536185426,201.060510827,429.625686898,39.606953499,241.707179391,115.195223601,135.911620755,95.9022274956,49.2091807439,142.085965442,27.1930420133,27.1930420133
2019-10-23,210.96,117.775882775,30.0014448725,47.8701052178,43.2278589968,67.0143583599,202.710434866,436.055952331,40.0425138381,239.478422802,113.136258303,136.761885947,95.8441342735,49.2275870206,143.67426647,27.3078613322,27.3078613322
2019-10-24,210.26,117.691165468,29.944153762,48.0298915498,43.0866222543,66.8756122763,202.451435162,433.766243572,39.6747073295,243.886844426,113.058561499,136.042430784,95.5633503666,48.8226489333,144.592802004,27.2695882259,27.2695882259
2019-10-25,211.8,118.632468879,30.2879004251,48.4716537617,43.6609850072,67.680339561,205.501876119,438.670036498,39.6650282109,244.74103748,114.855300085,137.042193153,94.4692613503,49.3104152657,142.698322465,27.4035440979,27.4035440979
2019-10-28,212.86,119.084294516,30.4024826461,48.5468473297,44.1035268005,68.068828595,208.87846485,445.119382837,40.1489841432,244.073392334,115.1660873,138.069986243,94.7597274608,49.6969470763,141.837195402,27.5470682464,27.5470682464
2019-10-29,213.01,119.008990244,30.6220985697,49.0356055215,44.0941110177,67.6063416497,208.772946452,444.737764711,39.6456699736,251.564763602,114.039483646,138.555852067,98.8456174157,49.9178223966,142.210350462,27.6140461824,27.6140461824
2019-10-30,213.25,118.350077856,30.1924152409,48.9040167776,43.8869637953,67.4953447829,207.017504015,445.481920057,39.9747600075,250.02328878,114.670770176,138.051299096,100.239854746,49.4024466492,146.745619662,27.5949096293,27.5949096293
2019-10-31,212.58,117.587622093,29.8582170962,48.5280489377,43.6877363332,66.4686237645,204.686506681,440.482722599,39.4036920074,253.302604644,113.903514239,137.070223874,100.326994579,48.8226489333,145.836652207,27.4609537573,27.4609537573
2019-11-01,215.83,120.298575916,30.3642885724,49.0450047175,44.9020751498,68.7718087517,208.533131912,447.609441113,40.4393577025,254.097887832,115.709964926,139.041717891,100.956337819,49.7889784598,143.942172667,27.8628213732,27.8628213732
