,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
MIC-LAZ,,,,,,,,,
MIC-SFNC,,,,,,,,,
MIC-HLX,,,,,,,,,
MIC-AUB,,,,,,,,,
MIC-FUL,,,,,,,,,
MIC-TILE,,,,,,,,,
MIC-WNC,,,,,,,,,
CORE-GCO,,,,,,,,,
CORE-CRS,,,,,,,,,
CORE-SCHN,,,,,,,,,
CORE-AMG,,,,,,,,,
CORE-LANC,,,,,,,,,
CORE-ON,,,,,,,,,
CORE-SLG,,,,,,,,,
CORE-SWM,,,,,,,,,
CORE-TCBI,,,,,,,,,
CORE-PNW,,,,,,,,,
CORE-NWBI,,,,,,,,,
CORE-NJR,,,,,,,,,
CORE-GFF,,,,,,,,,
CORE-KOP,2083.7267820751917,2088.3124796969796,2087.3709693398014,11.263003901317957,2.0234824811518126,0.9894099057397227,0.6813922065419047,0.013163966815801677,0.9996288817517457
CORE-JNPR,,,,,,,,,
CORE-HA,,,,,,,,,
CORE-CVI,,,,,,,,,
CORE-ISBC,,,,,,,,,
CORE-NXGN,,,,,,,,,
CORE-ASTE,,,,,,,,,
CORE-NYT,6.8349450616401555,10.31469912514467,11.76333916338308,2.161640244561744,0.5033235725312393,0.993949553141455,0.2418092413422977,0.020367787000645073,0.9929763160484933
CORE-UNM,,,,,,,,,
CORE-ABG,1551.7016804360626,1550.856911539196,1548.2125949444685,1.889486764755386,1.3999867544472173,0.8836769440072969,0.3817506927123949,0.3548102342171102,0.5513905863500201
CORE-SPWR,,,,,,,,,
CORE-SYNA,,,,,,,,,
CORE-GIC,,,,,,,,,
CORE-MDC,,,,,,,,,
CORE-AMKR,,,,,,,,,
CORE-SKYW,,,,,,,,,
CORE-NSIT,,,,,,,,,
CORE-RUSHA,41.4746846141129,44.91920456417995,46.18302831492463,3.209931455904073,0.7581340758927769,0.9914125830718322,0.24166395385061398,0.05036663382793326,0.9585423522315886
CORE-BECN,,,,,,,,,
CORE-FHN,,,,,,,,,
CORE-PFS,-988.5544617446812,-977.5465310293678,-985.2403420229515,2.6151042068930512,0.5252576094307557,0.8796757600664843,0.12030236921869913,0.08581107861358946,0.6765076482428455
CORE-ENR,2693.3212874918045,2696.7304101622885,2697.9885671430493,32.06244344078904,2.051058521670281,0.9812490922621259,0.8224253307114869,0.4199676303564546,0.7947142646700129
CORE-RLI,,,,,,,,,
CORE-ACM,1330.8092822722515,1333.5772481934696,1337.3125340383083,25.024513991806987,1.069569948231528,0.9964900613675141,0.3709563810732761,0.28739899702816485,0.625317966783121
CORE-DBD,,,,,,,,,
CORE-SNV,,,,,,,,,
CORE-UFCS,,,,,,,,,
CORE-SBGI,,,,,,,,,
CORE-WW,,,,,,,,,
CORE-SLM,,,,,,,,,
CORE-GBX,,,,,,,,,
CORE-KNX,2130.3296347516466,2142.56787470754,2031.9523861062862,14.266145439432748,0.7731811649485761,0.5370998505505186,0.6113184630708108,0.25659232334189724,0.8807454915751438
CORE-CLB,,,,,,,,,
CORE-EQT,,,,,,,,,
CORE-ALE,,,,,,,,,
CORE-APOG,,,,,,,,,
CORE-WABC,,,,,,,,,
CORE-QRTEA,,,,,,,,,
CORE-SSB,,,,,,,,,
CORE-UHAL,,,,,,,,,
CORE-HRI,711.414805260781,712.3779200920062,715.8114770853008,3.694901656753517,0.8060290158308406,0.9940094215049671,0.29737112049344755,0.17383350925774874,0.7458814217483527
CORE-KALU,2154.241453585658,2160.060208579692,2148.755840563587,13.845809497047687,2.170616603719687,0.8570815041846597,0.5819807683247407,0.3937269980204149,0.7017615361867281
CORE-AZZ,,,,,,,,,
CORE-CBSH,,,,,,,,,
CORE-FSLR,5119.604309650708,5119.495522207814,5123.218114871152,135.26009848088452,3.4177447138456363,1.000521492895015,3.0833690141973324,-0.13220682326493438,0.9981644253729071
CORE-SPR,,,,,,,,,
CORE-KMPR,,,,,,,,,
CORE-THO,1853.689646226589,1859.1222064245,1861.9714418650485,5.954825445756917,1.3419092673734978,0.9896274874046691,0.529907979837233,0.30058489480613615,0.7575228158387903
CORE-ACHC,,,,,,,,,
CORE-M,,,,,,,,,
CORE-USM,,,,,,,,,
CORE-LTC,,,,,,,,,
CORE-SAFT,,,,,,,,,
CORE-CMC,197.9248671823209,202.21475213768633,199.10109725078894,7.709980562952467,0.6008785794110146,0.9715894119565045,0.2554689931119614,0.07542314353600099,0.9208739417811087
CORE-MLI,387.3849198123853,389.72299225166364,390.4008716984,2.9272394401992132,0.9309283844693221,0.9695078828107766,0.2497001338701728,0.15323084066985967,0.7294815646718964
CORE-XRX,,,,,,,,,
CORE-INT,2015.719865646934,2019.8364148898445,2018.021544442538,9.44966562230752,1.616728096768042,0.8798246058040224,0.4655030809060802,0.4656243333598072,0.515357122735606
CORE-NHI,,,,,,,,,
CORE-RCII,,,,,,,,,
CORE-DEI,,,,,,,,,
CORE-SCL,,,,,,,,,
CORE-WWW,299.7742276853371,302.6941757421474,299.9075791476938,5.001381762012514,0.7679183476491941,0.9444608277903175,0.24061180094952084,0.14333575640850924,0.7434832937532879
CORE-BC,1517.348416113713,1522.8457399982262,1526.246341344526,-4.563477654055086,1.443715986449177,0.9914339248321484,0.40169446677791765,0.32309895925565446,0.6082014765650887
CORE-MTG,309.469087377365,309.1624100460849,309.7808110459498,1.3719064059910364,0.4719063336660473,0.9966477556948176,0.25485021723320633,-0.1194359165541822,0.8201655608183299
CORE-SWN,2469.473272437309,2470.804477117311,2470.7312142066194,29.66026469379009,1.475743491620973,0.963325897041444,0.6980370508163445,0.4392236855485247,0.7201153774069585
CORE-JWN,1781.8864210961733,1780.9772573934729,1782.6848397964295,6.067114931160534,1.3737757733208098,0.9661941783730004,0.4510198957392809,0.37360279006002783,0.5971692205862719
CORE-SRCL,,,,,,,,,
CORE-BCO,,,,,,,,,
CORE-CMP,,,,,,,,,
CORE-TOL,,,,,,,,,
CORE-HNI,,,,,,,,,
CORE-MIC,,,,,,,,,
CORE-PRGO,,,,,,,,,
CORE-WEN,-2350.457204275146,-2338.251207860218,-2342.4408144355148,2.5863243970524294,0.11251976024130969,0.976617607444837,0.0742648209593169,0.01195918933366365,0.9750115324699482
CORE-TGNA,,,,,,,,,
CORE-MAC,,,,,,,,,
CORE-CACI,2497.032324805101,2502.436083202056,2501.986476414383,32.04391528830823,1.968609056981243,0.9885250148523873,0.8313127784966321,0.10284761068785397,0.9850100145967106
CORE-EBIX,,,,,,,,,
CORE-RGR,,,,,,,,,
CORE-LAZ,,,,,,,,,
CORE-SFNC,,,,,,,,,
CORE-HLX,1192.5863161901905,1201.3212912083566,1197.0350911878609,3.608415892561159,1.2652695227647464,0.9775122744879374,0.43322881145043307,0.061902584044512786,0.9802124376858885
CORE-AUB,,,,,,,,,
CORE-FUL,,,,,,,,,
CORE-TILE,,,,,,,,,
CORE-WNC,72.31809134644743,75.41107709998835,79.03490024096641,-2.8230767270933304,0.5882958346062358,0.9992781914223682,0.24490355088054028,-0.054638870431908064,0.9526011717949807
PRGO-GCO,,,,,,,,,
PRGO-CRS,2422.202091578054,2429.3705026748876,2426.141758849955,9.367128863445686,0.2789103606049415,0.967285552216931,0.7608109176410253,0.2679958995425802,0.8912253344854084
PRGO-SCHN,2513.012598962874,2513.244544910479,2517.245980463181,31.22718733236806,0.2414992026062724,1.0,0.622501870439349,0.5710423455143042,0.5430348904944792
PRGO-AMG,,,,,,,,,
PRGO-LANC,,,,,,,,,
PRGO-ON,,,,,,,,,
PRGO-SLG,2634.495268315305,2644.802608114762,2647.184931405878,7.610524029868323,0.35808232352826774,0.9776227850352411,0.7036796134545446,0.5617432577416922,0.6134430364202569
PRGO-SWM,,,,,,,,,
PRGO-TCBI,,,,,,,,,
PRGO-PNW,,,,,,,,,
PRGO-NWBI,-2047.8899103616918,-2031.2857802292847,-2039.4888759173919,3.839631684526628,0.029419291822563635,0.8666447818783004,0.070670079972355,0.05152348258149417,0.6684036442963278
PRGO-NJR,,,,,,,,,
PRGO-GFF,,,,,,,,,
PRGO-KOP,,,,,,,,,
PRGO-JNPR,,,,,,,,,
PRGO-HA,,,,,,,,,
PRGO-CVI,,,,,,,,,
PRGO-ISBC,,,,,,,,,
PRGO-NXGN,,,,,,,,,
PRGO-ASTE,1912.3939151034056,1917.029735406055,1916.3680265788653,19.89599083651953,0.2264033246319794,0.9687882128460006,0.5569502387476781,0.2856617974123815,0.7943034551818219
PRGO-NYT,,,,,,,,,
PRGO-UNM,,,,,,,,,
PRGO-ABG,,,,,,,,,
PRGO-SPWR,,,,,,,,,
PRGO-SYNA,2343.4798982025823,2354.8656583651173,2358.223432800026,34.85075308735098,0.14087870269340652,0.9913456373830347,0.6170811804760681,0.47680921110514646,0.6271722901172972
PRGO-GIC,,,,,,,,,
PRGO-MDC,,,,,,,,,
PRGO-AMKR,,,,,,,,,
PRGO-SKYW,,,,,,,,,
PRGO-NSIT,1138.949199055246,1151.8320656994015,1140.0542939596912,7.014945270439326,0.1259090950252354,0.9719646376057968,0.4241777110210076,-0.032185053309244954,0.9943555244632546
PRGO-RUSHA,65.90437101740736,69.41594806841556,67.30589229106158,5.530200336272156,0.07876423828810138,0.9902445795043825,0.24571850671298626,-0.043069917143852325,0.9703332676609575
PRGO-BECN,,,,,,,,,
PRGO-FHN,,,,,,,,,
PRGO-PFS,,,,,,,,,
PRGO-ENR,2674.1698234261094,2675.574468579564,2677.041209825238,37.331769852544845,0.2759896443822236,0.9928282996166349,0.91084126063999,-0.07439223243358059,0.9933971325340614
PRGO-RLI,,,,,,,,,
PRGO-ACM,,,,,,,,,
PRGO-DBD,1116.2424375758367,1119.3899597565241,1119.8741690639301,16.33024598669557,0.14806529642053565,0.9882288409268536,0.4107959445338069,0.09280018704137472,0.9517174907205199
PRGO-SNV,,,,,,,,,
PRGO-UFCS,,,,,,,,,
PRGO-SBGI,,,,,,,,,
PRGO-WW,,,,,,,,,
PRGO-SLM,,,,,,,,,
PRGO-GBX,,,,,,,,,
PRGO-KNX,2136.131744975438,2143.4392031029874,2044.0858032476099,16.785119205252204,0.07443727189449016,0.5089833482820156,0.5976404239184828,0.2961667295742973,0.843676881737611
PRGO-CLB,,,,,,,,,
PRGO-EQT,1464.9459768851257,1465.3877458544575,1466.7981273759199,13.306261748150934,0.1877709893179065,0.9903817895099982,0.46914908888107953,-0.1743173631199357,0.8792032573670678
PRGO-ALE,,,,,,,,,
PRGO-APOG,,,,,,,,,
PRGO-WABC,,,,,,,,,
PRGO-QRTEA,,,,,,,,,
PRGO-SSB,,,,,,,,,
PRGO-UHAL,,,,,,,,,
PRGO-HRI,,,,,,,,,
PRGO-KALU,2185.358316110717,2192.2594917353704,2188.555392577304,20.768105502317624,0.23534966382543357,0.9223257929120878,0.5914889444569715,0.4047314363051038,0.6896428039039618
PRGO-AZZ,,,,,,,,,
PRGO-CBSH,,,,,,,,,
PRGO-FSLR,,,,,,,,,
PRGO-SPR,1334.0165677232537,1335.5959872365588,1334.4253005919475,10.56377604968753,0.12708920422768327,0.9927946641510172,0.4590679971402744,-0.0939771697492657,0.9599172917086759
PRGO-KMPR,,,,,,,,,
PRGO-THO,,,,,,,,,
PRGO-ACHC,,,,,,,,,
PRGO-M,,,,,,,,,
PRGO-USM,,,,,,,,,
PRGO-LTC,,,,,,,,,
PRGO-SAFT,,,,,,,,,
PRGO-CMC,197.22013215473817,199.60885858004076,201.071654637694,9.463763766540147,0.07227017067409056,0.976882106131134,0.22574656030271786,0.14188309469188398,0.7191895968222516
PRGO-MLI,,,,,,,,,
PRGO-XRX,,,,,,,,,
PRGO-INT,2001.8926032183028,2009.6949975752905,2006.7935908541772,13.986448695594959,0.20701898700243637,0.9834306429634525,0.6526035354283897,0.05283466272916882,0.9935417895038965
PRGO-NHI,,,,,,,,,
PRGO-RCII,,,,,,,,,
PRGO-DEI,-249.9911865348446,-245.16496439673858,-245.16373864931927,4.337071349991404,0.08521120918511474,0.9645354816712376,0.18092718209659164,0.11343687922132505,0.7214343326733845
PRGO-SCL,,,,,,,,,
PRGO-WWW,318.0034994237162,319.8843703614575,318.43735450057557,7.328110897662885,0.08606632468160243,0.9572616310502816,0.2474978697425777,0.1365416723033348,0.770501488273946
PRGO-BC,,,,,,,,,
PRGO-MTG,,,,,,,,,
PRGO-SWN,2461.95835135758,2462.992958228165,2464.1338602198066,33.74473831896653,0.1837678006575106,0.965101113441415,0.6574135063291596,0.49348765554677987,0.6436482789417473
PRGO-JWN,1712.3806641567353,1724.4479434708142,1724.7376354582316,9.169572180324462,0.19823576149425254,0.974872168202757,0.5059040127533054,0.2604635248984621,0.7925576457518092
PRGO-SRCL,,,,,,,,,
PRGO-BCO,,,,,,,,,
PRGO-CMP,2296.3201346546384,2298.8250618895927,2300.5440010474504,30.172513487669896,0.2227776368635383,0.994610163533394,0.7561575692423977,0.04941904194388335,0.9957582411249915
PRGO-TOL,1474.5550304874748,1475.4152724033183,1477.2684529564685,13.427580391226698,0.11348587389309446,0.9567723415215252,0.36391437963471335,0.3473859621429071,0.5286723037178435
PRGO-HNI,,,,,,,,,
PRGO-MIC,,,,,,,,,
PRGO-CORE,,,,,,,,,
PRGO-WEN,-2381.1740148255635,-2375.531810773404,-2382.9702599851926,2.7883527514040853,0.018056723484443357,0.9828293515841413,0.07262447512870084,-0.01266197969676304,0.9707451559229505
PRGO-TGNA,,,,,,,,,
PRGO-MAC,,,,,,,,,
PRGO-CACI,2478.061901406473,2482.058765491562,2481.3769029555615,37.22183101333316,0.23720483843548196,0.990333631817995,0.8288293174632754,-0.021402037091319544,0.999336886576505
PRGO-EBIX,,,,,,,,,
PRGO-RGR,,,,,,,,,
PRGO-LAZ,,,,,,,,,
PRGO-SFNC,,,,,,,,,
PRGO-HLX,1193.8042677787796,1200.337206073264,1198.7170479547847,7.200989740484564,0.14490365454821444,0.9839906145078384,0.432742236113321,0.06763202226866814,0.9763430775473891
PRGO-AUB,,,,,,,,,
PRGO-FUL,,,,,,,,,
PRGO-TILE,,,,,,,,,
PRGO-WNC,,,,,,,,,
WEN-GCO,,,,,,,,,
WEN-CRS,2445.9459227466255,2448.7038219311517,2447.0161332792386,2.718808933615543,4.240211274791811,0.9245825254540536,0.6367323400472589,0.5088051916026866,0.6194009713304512
WEN-SCHN,,,,,,,,,
WEN-AMG,3944.488348737964,3944.744147469601,3938.114462764462,21.00150812996148,11.246540070529962,0.7983055304131245,1.2103300693510861,1.2100168439577141,0.526679631992413
WEN-LANC,,,,,,,,,
WEN-ON,-538.8580545248711,-535.4404260864329,-537.1114062519857,4.251467460093004,0.8963076051277847,0.9905354007984071,0.18389010690178648,-0.017037397061222762,0.9915289921017097
WEN-SLG,,,,,,,,,
WEN-SWM,,,,,,,,,
WEN-TCBI,,,,,,,,,
WEN-PNW,,,,,,,,,
WEN-NWBI,-1987.3360147117353,-1988.1750404976005,-2010.191130872317,3.235469609916243,0.42814317522281314,0.6534861914895341,0.06580146148829032,0.059542936385211125,0.5963188159446828
WEN-NJR,,,,,,,,,
WEN-GFF,,,,,,,,,
WEN-KOP,,,,,,,,,
WEN-JNPR,,,,,,,,,
WEN-HA,,,,,,,,,
WEN-CVI,,,,,,,,,
WEN-ISBC,,,,,,,,,
WEN-NXGN,,,,,,,,,
WEN-ASTE,1890.4369788766935,1902.081460348247,1894.9570274326854,13.321339986981284,3.884388246060497,0.8188350864275342,0.4545058423033098,0.42066849810530854,0.562098294276684
WEN-NYT,,,,,,,,,
WEN-UNM,,,,,,,,,
WEN-ABG,1572.9317197434957,1573.261200685322,1568.384610210329,2.137443020614091,2.513023457458284,0.8779914217890684,0.4048025225135887,0.336549885739705,0.6064108892933907
WEN-SPWR,,,,,,,,,
WEN-SYNA,2364.247508571608,2372.9243388859504,2375.2953396554535,32.49410229914299,1.8492223489492379,0.9912061408968782,0.7270189336867801,0.29999748506067003,0.8550490570241281
WEN-GIC,,,,,,,,,
WEN-MDC,,,,,,,,,
WEN-AMKR,,,,,,,,,
WEN-SKYW,,,,,,,,,
WEN-NSIT,1151.7254849629658,1158.9704693090564,1154.3070648855626,4.007341953011548,1.879168780635699,0.9644510204416719,0.4080941157352973,0.13040900137526687,0.9088421368079916
WEN-RUSHA,,,,,,,,,
WEN-BECN,,,,,,,,,
WEN-FHN,,,,,,,,,
WEN-PFS,,,,,,,,,
WEN-ENR,2695.279312931915,2694.485425734445,2694.334359222942,31.35753230455937,3.9929079682742867,0.933955954550682,0.6969245931131645,0.6032889156998232,0.5798460796685313
WEN-RLI,-139.21901939205702,-137.37108073256377,-160.03715126025395,8.0865347975655,1.1230773548806097,0.5125201513675168,0.14763427756338068,0.16684625375233264,0.5086742991546294
WEN-ACM,,,,,,,,,
WEN-DBD,,,,,,,,,
WEN-SNV,1360.191052920782,1364.5285204907977,1365.2037328208683,10.638622243976474,1.66412969036955,0.9827132001891142,0.4402575499786807,0.18049112771400178,0.8571769006165598
WEN-UFCS,,,,,,,,,
WEN-SBGI,,,,,,,,,
WEN-WW,,,,,,,,,
WEN-SLM,,,,,,,,,
WEN-GBX,,,,,,,,,
WEN-KNX,2124.393625395808,2148.0184509803844,2025.8057172904296,14.482913781054128,1.6068392263169347,0.5030656676975319,0.6096373663605476,0.2553663779570737,0.8834969510776854
WEN-CLB,,,,,,,,,
WEN-EQT,,,,,,,,,
WEN-ALE,,,,,,,,,
WEN-APOG,,,,,,,,,
WEN-WABC,,,,,,,,,
WEN-QRTEA,,,,,,,,,
WEN-SSB,,,,,,,,,
WEN-UHAL,,,,,,,,,
WEN-HRI,,,,,,,,,
WEN-KALU,2209.4066721925988,2210.578132012855,2196.149332805024,14.983092892713287,3.7000708187487694,0.6876018195094268,0.5080063567125174,0.5094042017784308,0.5409935267579883
WEN-AZZ,,,,,,,,,
WEN-CBSH,,,,,,,,,
WEN-FSLR,,,,,,,,,
WEN-SPR,1332.5000591908858,1337.3836044360728,1339.3607646404912,7.290577700613453,1.9967165100744593,0.9925453475724508,0.4527840393555787,0.1250709433768146,0.9293536302043759
WEN-KMPR,,,,,,,,,
WEN-THO,,,,,,,,,
WEN-ACHC,,,,,,,,,
WEN-M,,,,,,,,,
WEN-USM,,,,,,,,,
WEN-LTC,,,,,,,,,
WEN-SAFT,,,,,,,,,
WEN-CMC,191.05124007142865,201.67577466228556,195.6107661757219,7.527475997235602,1.1748436608377548,0.972119717957237,0.2626589273891545,0.04144109384002693,0.9760420370085321
WEN-MLI,483.2559973036347,482.31796894495744,477.63139080340864,4.091052276903489,1.3572354440641636,0.9196638381942956,0.25569206888758794,0.16802973128335624,0.7069595821766408
WEN-XRX,,,,,,,,,
WEN-INT,2034.0513231621198,2037.3300640032269,2032.784795181552,9.673370247180374,2.9209720252922384,0.8651641037331295,0.49446018668959824,0.4420667576903678,0.5729285289420777
WEN-NHI,,,,,,,,,
WEN-RCII,,,,,,,,,
WEN-DEI,,,,,,,,,
WEN-SCL,,,,,,,,,
WEN-WWW,,,,,,,,,
WEN-BC,,,,,,,,,
WEN-MTG,,,,,,,,,
WEN-SWN,2432.633246328433,2436.795313589029,2434.9400951442976,27.294964166259888,3.4568079348210836,0.9788433148653252,0.7821848049142844,0.211099859122306,0.9327772182462317
WEN-JWN,,,,,,,,,
WEN-SRCL,,,,,,,,,
WEN-BCO,,,,,,,,,
WEN-CMP,,,,,,,,,
WEN-TOL,,,,,,,,,
WEN-HNI,,,,,,,,,
WEN-MIC,,,,,,,,,
WEN-CORE,,,,,,,,,
WEN-PRGO,,,,,,,,,
WEN-TGNA,,,,,,,,,
WEN-MAC,,,,,,,,,
WEN-CACI,2515.4028998680924,2520.23763955847,2520.1946114776756,32.4360339560075,3.496680893669311,0.9835049627319049,0.8091710491404253,0.24439529866350637,0.9170351204765275
WEN-EBIX,,,,,,,,,
WEN-RGR,,,,,,,,,
WEN-LAZ,,,,,,,,,
WEN-SFNC,,,,,,,,,
WEN-HLX,,,,,,,,,
WEN-AUB,,,,,,,,,
WEN-FUL,,,,,,,,,
WEN-TILE,,,,,,,,,
WEN-WNC,,,,,,,,,
TGNA-GCO,,,,,,,,,
TGNA-CRS,2406.4807399806023,2407.3921812374206,2405.629397013463,13.437196545229316,2.044120382658629,0.9220738266826908,0.6230712556724349,0.49929149354548236,0.6183814788504777
TGNA-SCHN,,,,,,,,,
TGNA-AMG,3872.4070968458423,3871.8816804290336,3866.375527509167,49.068675112009686,5.4572818930966855,0.8231144561134808,1.1786221641172567,1.1567613814950561,0.5324654402268555
TGNA-LANC,,,,,,,,,
TGNA-ON,,,,,,,,,
TGNA-SLG,,,,,,,,,
TGNA-SWM,,,,,,,,,
TGNA-TCBI,,,,,,,,,
TGNA-PNW,,,,,,,,,
TGNA-NWBI,-2048.6440707258907,-2041.0777015321987,-2071.5931009233536,4.29017170945701,0.22278529817456832,0.8423000046171958,0.08028241609221433,0.03103520474132638,0.8789994554004789
TGNA-NJR,,,,,,,,,
TGNA-GFF,,,,,,,,,
TGNA-KOP,2078.4948445784985,2081.992671372267,2081.597827931886,20.645121346996916,1.6969586853189524,0.9052075746311729,0.48109200444258465,0.47995703728785527,0.5133168710695624
TGNA-JNPR,,,,,,,,,
TGNA-HA,,,,,,,,,
TGNA-CVI,,,,,,,,,
TGNA-ISBC,,,,,,,,,
TGNA-NXGN,,,,,,,,,
TGNA-ASTE,1859.849553065098,1868.4445796896284,1863.6540314229765,23.15048575694185,1.7762114586027717,0.850735123318229,0.44658674978474,0.41513336046029253,0.5556761465157373
TGNA-NYT,,,,,,,,,
TGNA-UNM,,,,,,,,,
TGNA-ABG,1482.131200286858,1481.2470048765906,1479.5192692902058,8.146202732794203,1.3828548605456605,0.9106334431581746,0.37997207381589926,0.3306046516129466,0.5803137158347391
TGNA-SPWR,,,,,,,,,
TGNA-SYNA,,,,,,,,,
TGNA-GIC,,,,,,,,,
TGNA-MDC,,,,,,,,,
TGNA-AMKR,-955.2791364801758,-955.5983911262041,-954.3448238688565,4.177648216399547,0.35476597915038866,0.9722049874106355,0.1247179756739689,0.08344661197423993,0.6937459558475894
TGNA-SKYW,,,,,,,,,
TGNA-NSIT,,,,,,,,,
TGNA-RUSHA,15.793534315691886,17.313967096027227,14.757265674839005,6.690368519560781,0.6539166593055371,0.9917390589400448,0.2344774640610224,-0.06389494393567358,0.9311427785543679
TGNA-BECN,,,,,,,,,
TGNA-FHN,,,,,,,,,
TGNA-PFS,,,,,,,,,
TGNA-ENR,,,,,,,,,
TGNA-RLI,-170.53397059773306,-170.08883219982363,-192.37866744275038,10.90797444872722,0.5341926156325429,0.6000118875002614,0.15541441700056816,0.15462244075208545,0.5580751972667162
TGNA-ACM,,,,,,,,,
TGNA-DBD,,,,,,,,,
TGNA-SNV,,,,,,,,,
TGNA-UFCS,,,,,,,,,
TGNA-SBGI,,,,,,,,,
TGNA-WW,3540.2700309615047,3540.141667363881,3543.8910291395264,21.468337490411972,1.6921222803698406,0.9972226028842893,1.3047286707208694,0.5648994083636406,0.8423203651073582
TGNA-SLM,,,,,,,,,
TGNA-GBX,,,,,,,,,
TGNA-KNX,2107.9349257072654,2131.13603618304,2001.4094409254503,18.137437216822814,0.8514351321989787,0.5285582500488017,0.6144583397566797,0.22098275477896312,0.9100409589276872
TGNA-CLB,,,,,,,,,
TGNA-EQT,,,,,,,,,
TGNA-ALE,,,,,,,,,
TGNA-APOG,,,,,,,,,
TGNA-WABC,1505.7054111040165,1509.7174430196671,1486.0295891968726,32.2856200370953,1.3336460989351941,0.5737451904471091,0.35443747838238626,0.36014023259457534,0.5517554277310237
TGNA-QRTEA,,,,,,,,,
TGNA-SSB,,,,,,,,,
TGNA-UHAL,,,,,,,,,
TGNA-HRI,,,,,,,,,
TGNA-KALU,2177.368774742534,2178.85047450855,2163.705442668087,24.35523683832513,1.731906164781098,0.7788236413827497,0.5540213781932405,0.4406608912224745,0.6399276659765377
TGNA-AZZ,,,,,,,,,
TGNA-CBSH,,,,,,,,,
TGNA-FSLR,,,,,,,,,
TGNA-SPR,,,,,,,,,
TGNA-KMPR,,,,,,,,,
TGNA-THO,1804.4269508932084,1807.6255161397426,1808.3370396412538,11.845116360333385,1.3707538016043594,0.9774300163640837,0.5374881996434442,0.2509415458673366,0.8226962522037111
TGNA-ACHC,,,,,,,,,
TGNA-M,,,,,,,,,
TGNA-USM,,,,,,,,,
TGNA-LTC,,,,,,,,,
TGNA-SAFT,,,,,,,,,
TGNA-CMC,130.16408587895614,140.33719088351313,135.37608870602332,10.421201449335758,0.6251170919025388,0.9340474779620401,0.22508809827409043,0.12621048890874362,0.7668508349041936
TGNA-MLI,417.5526182303628,417.7743590400961,415.75829188155205,7.400868057120512,0.719330259483734,0.9178074090355056,0.2308289221847704,0.18638933825099438,0.6152992311418968
TGNA-XRX,,,,,,,,,
TGNA-INT,2015.2992761802213,2017.383793123065,2013.4077241606478,17.097636487582612,1.360298668486824,0.8953475771421752,0.5115154030967451,0.41214738067062634,0.619101978466526
TGNA-NHI,,,,,,,,,
TGNA-RCII,,,,,,,,,
TGNA-DEI,,,,,,,,,
TGNA-SCL,,,,,,,,,
TGNA-WWW,,,,,,,,,
TGNA-BC,,,,,,,,,
TGNA-MTG,,,,,,,,,
TGNA-SWN,2386.662940944589,2389.574185778193,2388.6380093799507,35.880934361667926,1.7766047859262353,0.9564121750954594,0.6715543552396668,0.41932879604066475,0.7239048020485455
TGNA-JWN,,,,,,,,,
TGNA-SRCL,,,,,,,,,
TGNA-BCO,,,,,,,,,
TGNA-CMP,,,,,,,,,
TGNA-TOL,,,,,,,,,
TGNA-HNI,,,,,,,,,
TGNA-MIC,,,,,,,,,
TGNA-CORE,,,,,,,,,
TGNA-PRGO,,,,,,,,,
TGNA-WEN,-2388.996548726307,-2379.7813415198966,-2385.6826603160603,3.047604860670382,0.12640698460957714,0.8093321202464598,0.05203585149567431,0.05207938286881307,0.5246093409805936
TGNA-MAC,1277.5486592630912,1276.82501287519,1279.1907861911698,7.335959900518976,1.335192767332875,0.9640135543698879,0.32740922248664156,0.31723203117318177,0.5203167585424402
TGNA-CACI,2478.430857014865,2482.466784183943,2476.742523715652,41.04573552236722,1.6488819389982377,0.9864303197700257,0.8062864006453606,-0.18481274500613507,0.9504050734451741
TGNA-EBIX,,,,,,,,,
TGNA-RGR,,,,,,,,,
TGNA-LAZ,,,,,,,,,
TGNA-SFNC,,,,,,,,,
TGNA-HLX,1151.8780276010787,1155.0723524556208,1154.4120496316443,9.281308088981884,1.1496454568392886,0.9728197824685947,0.38943397694045795,0.178626986914688,0.8281357925091745
TGNA-AUB,,,,,,,,,
TGNA-FUL,,,,,,,,,
TGNA-TILE,,,,,,,,,
TGNA-WNC,52.52186515004212,55.29397089780207,58.60656017054475,-0.1260566129329832,0.5274172095348735,0.9956100896877951,0.22292007385051843,0.10955766704540551,0.8057960624674941
MAC-GCO,,,,,,,,,
MAC-CRS,2172.4402332388086,2175.8299293273685,2175.5185243940673,7.124188292461072,0.998850440574096,0.9323162504552571,0.5384599872901124,0.4659480291870453,0.5802271521506234
MAC-SCHN,,,,,,,,,
MAC-AMG,,,,,,,,,
MAC-LANC,,,,,,,,,
MAC-ON,,,,,,,,,
MAC-SLG,1814.6770254236544,1819.5169025337302,1819.4212573857199,2.105613748906091,1.5731521606778303,0.9553600658017223,0.48933586356954023,0.34105414817930507,0.67799841794295
MAC-SWM,,,,,,,,,
MAC-TCBI,,,,,,,,,
MAC-PNW,,,,,,,,,
MAC-NWBI,,,,,,,,,
MAC-NJR,,,,,,,,,
MAC-GFF,,,,,,,,,
MAC-KOP,,,,,,,,,
MAC-JNPR,,,,,,,,,
MAC-HA,,,,,,,,,
MAC-CVI,,,,,,,,,
MAC-ISBC,,,,,,,,,
MAC-NXGN,,,,,,,,,
