,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
AMG-RUSHA,-265.84140336475025,-260.7623447771223,-270.49041862298884,2.65977340042829,0.08530227783641137,0.982708231409722,0.20249909295743326,-0.05883736319636492,0.922770576874713
AMG-BECN,991.5076435991582,991.3990792879252,989.7669586989941,6.97053374021071,0.1392167985486149,0.8757228780528039,0.2765621989589466,0.2816754435106233,0.5068779552900796
AMG-FHN,-1213.994151380472,-1213.727827543105,-1211.859643265002,2.8921647467610176,0.04896566811918906,0.9761385762098916,0.10735291519901986,0.07683320687169616,0.6639555938904751
AMG-PFS,-1347.2989768280486,-1339.9429275910763,-1346.4927433265166,2.384267721764969,0.058532138670853814,0.9005938363517759,0.10257807422971461,0.06870694792670679,0.7010972960306765
AMG-ENR,2456.871075851635,2463.664929984676,2462.352071405347,28.70563494933088,0.2722381808246691,0.9835936994406627,0.8104009710943458,0.13332586491761303,0.9738575038100038
AMG-RLI,,,,,,,,,
AMG-ACM,,,,,,,,,
AMG-DBD,911.2704979455414,912.0816831182309,910.2086677161816,12.401182357889404,0.13739068091692466,0.9936134179777187,0.3544268127258846,-0.1354592744809892,0.8729014696195097
AMG-SNV,,,,,,,,,
AMG-UFCS,,,,,,,,,
AMG-SBGI,,,,,,,,,
AMG-WW,,,,,,,,,
AMG-SLM,-2138.7903078323025,-2134.365345060023,-2146.5199304332696,1.3921772494325055,0.03005538256369383,0.7033284227574138,0.05774878910234155,0.059508693967564495,0.525109577644906
AMG-GBX,,,,,,,,,
AMG-KNX,,,,,,,,,
AMG-CLB,,,,,,,,,
AMG-EQT,1233.457967208632,1235.44466589208,1237.6486887920946,8.421243698154862,0.15767327186266836,0.992316954480201,0.43207181499165986,0.11283256235635207,0.9363876911979251
AMG-ALE,,,,,,,,,
AMG-APOG,,,,,,,,,
AMG-WABC,,,,,,,,,
AMG-QRTEA,,,,,,,,,
AMG-SSB,,,,,,,,,
AMG-UHAL,,,,,,,,,
AMG-HRI,,,,,,,,,
AMG-KALU,1801.0942565163054,1813.1114551561122,1798.9042033957057,11.985509952801419,0.2602996081246823,0.7144711080386841,0.4273352939941409,0.40738501951560246,0.5620935393713531
AMG-AZZ,,,,,,,,,
AMG-CBSH,-444.8525695159009,-434.0664578744146,-438.81726030667585,8.247830582192918,0.09432518248041193,0.8672184805181337,0.14581531123264213,0.1278594688221758,0.5821280603638778
AMG-FSLR,,,,,,,,,
AMG-SPR,,,,,,,,,
AMG-KMPR,,,,,,,,,
