,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
FANG-BHE,2,2,1,-1657.768584066202,1,-0.30210250231174274,1.4713022648531293,0.0,0.00706835408170442,1.1026174428451867,-0.12554865274513105,0.015990812780389486,-0.008966120529584842,0.663714481728789,0.3485853493443223,0.005490266048422508
FANG-AROC,2,1,2,-2632.058929869287,7,-0.29226068283590023,2.1139700327080675,-3.9576273282400862,0.002207832210364913,0.8369569787425277,0.11998248961099023,0.014855788195127504,0.006584627817058701,1.0001774502677592,0.0,0.003411396812434381
FANG-HBI,2,2,2,-2428.3284825105693,3,-0.9705588137351879,4.662786920662125,-6.028311612472514,-0.0323436975945043,0.8782347220941205,0.011195810548979779,0.016086534321776723,0.006675944035740858,1.0127482225476498,-0.01188023610652067,0.0041719991260959904
FANG-NWL,,,,,,,,,,,,,,,,
FANG-NFG,2,2,2,-2487.086281121363,4,3.355640270624254,0.002875166927824413,-2.6510818178053746,0.004563989810628777,0.9722879831627012,0.018903938495199668,0.007996517898234738,0.004875362462466976,0.9082376197289932,0.09281042605641687,0.0012843822190382018
FANG-PFS,2,2,2,-2698.187104532069,2,2.708790508320413,59.59601690278238,-25.913718478166395,0.0012236171940287607,0.9776887517380786,0.012451321325499976,0.009285510985487211,-0.07251470811948887,2.2998206243381283,0.42950625451848,0.0026304060378830782
FANG-AIN,2,1,2,-1759.8489826222171,3,-0.47714948086381914,-2.100066155339138,1.303448959772418,-0.016097523023271304,0.8149010911672967,0.08926703356558896,0.027553985248374414,0.006207077438666761,1.0068822779845878,0.0,0.006645195125499938
FANG-HR,2,1,2,-2253.5784724025925,5,0.47536357685480285,-1.500550684270359,-0.550609498577209,0.0016638137209541574,0.951013284611772,-0.010762979053374977,0.013998014260683011,0.007277316124525993,1.0002109712159806,0.0,0.004197414199430354
FANG-BRO,2,1,2,-1891.5272082577794,1,0.15750075322905574,1.5499378248279376,-2.756187175254074,-0.003488842322061314,1.0079985891207315,-0.04365547242294099,0.020920046994183383,0.004272110188293196,1.0011486592181629,0.0,0.005382877946773658
FANG-CFR,2,1,2,-2431.296031898101,4,3.0583354938633014,-0.05598822208295824,2.1562850084957157,0.002021629876348442,0.9600741698179576,0.0289590519632128,0.01152242735415106,0.004646863157128006,1.006342651300159,0.0,0.01051152767253721
FANG-HLF,1,1,1,-2661.6191922187704,1,6.076025220694508,-4.876585242350883,0.0,0.004922908042477081,0.9883942965152184,0.0,0.008734594023389997,0.006052463811752062,1.0003850811945765,0.0,0.0010840471937962393
FANG-AN,2,2,2,-2493.2756664553563,2,2.385078085522292,-2.3916480136396823,6.2094049429762075,0.004094518776817912,0.9520233924909611,0.024544846155979627,0.009320622258631756,-0.07288787706957674,0.9089311439537617,0.6460555036654299,0.04129402197562474
FANG-MATX,1,1,2,-2384.338478465017,6,0.14110836781450678,0.8651003092374356,-2.9877977606553054,-0.019079882835717103,0.915719872062271,0.0,0.014453475398911779,0.010991032189527503,1.0008739331649772,0.0,0.0036964197369641016
FANG-STFC,1,1,2,-1691.662453611647,2,2.3843473096154297,0.8367037529927241,-1.584914966716897,0.0038938704760658506,0.9575848015397193,0.0,0.021609516959573624,-0.023163528805727363,1.0279612197189572,0.0,0.004658424219190516
FANG-PII,1,1,1,-2810.094164951957,7,3.365673450661592,2.612976549559705,0.0,0.0031726679792398963,0.9950464045788091,0.0,0.007526989403131521,-0.0011005878418810788,1.0003561341553837,0.0,0.005844195761140981
FANG-SWBI,1,1,2,-2535.06981058648,2,2.4801383554569605,1.2915036936989979,0.7667951426563195,-0.0003129244146595515,0.9924338805887246,0.0,0.009503404871549298,0.0025097341752046837,1.0014838219054745,0.0,0.007355710639200592
FANG-LPLA,1,2,1,-2296.5380604468905,3,0.9595921486869237,3.846866894638715,0.0,-0.00012828595434991302,0.9874576517405328,0.0,0.010005763456946882,0.008636858822592304,1.0792433364569067,-0.06929932897219793,0.008471754556699651
FANG-UVV,1,2,2,-2491.0769215492755,5,3.311740201708126,2.250393646062804,-5.355668784245624,0.003900195514282667,0.9795244850715099,0.0,0.009755618111828523,0.012608060103717955,0.9325650936771694,0.07008569556046496,0.0016245308257470108
FANG-HMN,2,1,2,-1899.4255197858429,1,0.48082385176544784,-1.6368666267547702,0.9773277978842929,-0.005385918379418278,1.0323544082602325,-0.06475106296552369,0.013530736578723508,0.005387808950498656,1.0026564953196553,0.0,0.003305273678693264
FANG-MOH,,,,,,,,,,,,,,,,
FANG-SHOO,1,1,1,-2468.889928471738,7,1.970047896871911,2.1470187633444184,0.0,0.00019452357452909514,0.9923355087023559,0.0,0.010306693844706713,0.07352750349079004,1.0428199846081885,0.0,0.0043091945021681505
FANG-HSC,2,1,2,-2251.5201502066916,4,2.4080199722796807,1.2064207165029857,-2.8856734286464554,-0.005820289093428917,0.9601077976907604,0.017719113166563716,0.01098954312283038,0.03523694171394037,1.0155924515534152,0.0,0.0015606850466478599
FANG-CLR,2,1,1,-2941.950387427963,6,4.559927691386722,-3.654280938330268,0.0,0.0038782135324312295,0.9478213027514641,0.04440772961160633,0.005178565027775991,0.009126508772627662,1.0016356058252684,0.0,0.0007558301310986178
FANG-HRI,2,2,1,-2666.100811399261,7,4.607272422896993,-3.5439685563948413,0.0,0.0039216619899490185,0.9469261764705408,0.03955439647982928,0.008495330530874852,0.01637356613433827,0.9120858549941886,0.09289475133743963,0.0009009251025055259
FANG-TG,1,1,1,-2159.755356075579,4,2.002755301858528,2.0740530994978092,0.0,0.007846102574523348,0.9826983364909809,0.0,0.013601520653405157,-0.11541159755113696,1.0735689897064962,0.0,0.02808694586080203
FANG-HOG,1,2,1,-2420.6319354672087,1,0.137045063411716,2.042688257958037,0.0,0.00014171588263506285,0.9943373749197785,0.0,0.004807149540772295,0.01791554127532427,0.9156891682473898,0.08705656335374101,0.019279157330461056
FANG-EBIX,1,2,1,-2378.201978680338,7,1.8828121150251422,-1.2675855380333338,0.0,-0.003812271338784756,0.9754349928195158,0.0,0.008793706808567302,0.02823150251728246,1.0035466213269615,0.013297180247917595,0.00124898598863576
FANG-PAG,,,,,,,,,,,,,,,,
FANG-ACCO,2,2,1,-2463.3975569333957,5,2.9119420902597617,-2.918411832177455,0.0,0.005344100552940226,0.9562618960274634,0.024127417156314834,0.009444871788791706,0.008417562696900749,0.9122765587085837,0.08778156285859495,0.0018404858418374366
FANG-CVBF,2,2,1,-2079.180771242937,2,-1.7895452743812086,1.4505069375320325,0.0,0.0029141019720270445,0.4952532800623004,0.47195627420392583,0.005585315327730972,0.0002822552495672717,1.191545397847598,-0.19134259505621287,0.008082732791028177
FANG-ESE,1,2,2,-2606.8096876699415,7,3.3241873171678136,1.6673316179364233,-4.131295100032741,0.0017350316041894742,0.9806645842206303,0.0,0.008218774980736676,0.027436377381821364,0.881664943426756,0.12981834483082366,0.0008951864549285822
FANG-AVA,2,2,1,-2578.1597816348353,3,2.487781065886455,3.944386959295018,0.0,0.003961975463061242,0.9732679999065041,0.010904233966186894,0.009290594287972914,-0.20405941002925332,1.678146178616093,-0.32457761231751103,0.012699351166835866
FANG-SYNA,2,2,1,-1996.132236259134,6,-1.1866543922442274,0.16751874439088393,0.0,-0.012581976762608584,0.7955074022529498,0.044608755082350626,0.030837002581350206,0.005871217485721038,0.9619330970727002,0.04169295026254716,0.005218285110121638
FANG-PVH,2,2,2,-1919.6984377199967,4,1.196950527049013,2.119297364800336,-4.340804635251125,-0.009613930828371923,1.1085785378828703,-0.17396907971507147,0.017713912493536644,0.017661568049066156,0.8349020760326908,0.16770831932245756,0.005365201977005528
FANG-EPR,1,2,1,-2382.6174917124144,5,2.133499833580213,1.7278467372109618,0.0,-0.0022282114070949943,0.9914624575739608,0.0,0.00938757587152687,0.038226317631882764,-0.3956679860550487,1.1763524813172292,0.021954840766445976
