,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
SWX-FCF,,,,,,,,,,,,,,,,
SWX-CRI,2,2,1,-4899.805557633513,4,0.41689747192481486,9.148944272712871,0.0,0.0002516073404097911,1.0658829869670612,-0.09116585313875447,0.00028134681485141846,0.00029328121121972514,1.1365401669233854,-0.10685090511125495,4.046189026120181e-05
SWX-PBI,1,1,2,-5030.580545631651,6,0.9572662188087963,-15.709735552799652,20.684952041253513,0.0005193383521189649,0.980421306392198,0.0,0.0002609190890259001,-0.00012472335234220422,1.0311626435241972,0.0,2.5338508288375128e-05
SWX-SJI,,,,,,,,,,,,,,,,
SWX-ATO,2,1,2,-5912.329098831534,5,3.6640126932295267,-122.45839891527532,120.05302678039396,-6.747878979658159e-05,1.0101041993337176,-0.02904141856352993,8.807238186629124e-05,-0.0010947550316269764,1.0533553206064687,0.0,0.000515887039903822
SWX-NRG,1,2,2,-4909.411019903931,2,0.9900376537900372,14.349550345623305,-8.597545573244561,0.0009174735190963124,0.986479218990848,0.0,0.0002893134736393403,-0.0014290922888160057,1.3594325560265617,-0.3550505064525922,4.031771765779733e-05
SWX-ZGNX,2,2,1,-5001.570416124728,1,0.5030258161695206,9.246318550865348,0.0,0.0008896146604255653,0.9722621583380544,0.01574101065925504,0.0002625807871058508,-0.0008769573653845467,1.196960486315369,-0.18638952593101266,3.4717764457145216e-05
SWX-ISBC,1,2,2,-5056.964348650511,8,-1.985944807534827,39.56640934211051,-25.96030524636666,0.0005690853812391344,0.9396858161240712,0.0,0.000446988899949786,0.00018679399013313714,1.0992147226364501,-0.09247616575940754,0.00010851878685928732
SWX-UNFI,1,1,1,-5108.130336638333,5,0.8490887790111254,4.8348534306989706,0.0,0.0008496641289147599,0.989880905471972,0.0,0.00023761522904511,-9.242549563788852e-05,1.0046979697446048,0.0,2.3336419567931726e-05
SWX-AEL,2,2,2,-4900.523356238652,3,0.6555841953546917,5.054210375508268,2.452640294002552,0.0005466385062947525,1.1633522169726724,-0.20185380071755077,0.0002681146008031967,-0.0006389656164395956,0.7852020442078942,0.22028139164679672,4.120793621855097e-05
SWX-SBRA,2,1,2,-4931.798178208003,1,-0.21318186273447803,-2.4316316777870757,8.422025579862833,0.0010707863038811882,0.9578320044783624,0.03131460557955279,0.00028585332861851004,-0.00011399955274428442,1.0011547573321984,0.0,4.6892727865302357e-05
SWX-FLO,,,,,,,,,,,,,,,,
SWX-AZZ,2,2,2,-4693.35512799837,1,0.4103769212141867,35.23828759914801,-31.56302241350403,0.0007381681820242765,0.9119735680823453,0.07329838895642382,0.0003366463004276686,-0.0008799815468855656,1.3225541266641443,-0.3170651337762891,7.140506530366135e-05
SWX-ABM,2,1,1,-5025.13709098815,7,0.7696349956430092,7.965503445951458,0.0,4.849970556816403e-05,1.0656844139205788,-0.08832791915918392,0.00022975462003655312,0.0009180818074252112,1.0238277153623303,0.0,3.979153489183929e-05
SWX-WMK,1,1,1,-4942.439492599556,5,0.8238257171360542,2.1609062051656354,0.0,1.6342924461151646e-05,0.9886862380485812,0.0,0.0002613515053219156,0.0014699754803600383,1.001748715982362,0.0,3.918813240160491e-05
SWX-MOS,1,2,2,-4597.737057834862,2,0.03332399917797203,16.018468414896137,2.456300311216621,-0.00010320077430689997,0.9810020194576426,0.0,0.0004013690156114762,0.0008371953132901332,0.998455690730017,0.015468608165702946,0.00011192300242070711
SWX-WWD,,,,,,,,,,,,,,,,
SWX-PLXS,2,1,1,-4934.233102519955,3,0.24925645737042612,7.218237989472968,0.0,0.00015187677201859533,1.036774450083044,-0.06314336136638588,0.0002788061395604282,0.0017129574872160151,1.0431781193730008,0.0,3.574659307141789e-05
SWX-FLS,1,1,1,-5012.262689688636,1,0.6228688139291393,9.621634927126813,0.0,0.0007193940687002695,0.9871818848194774,0.0,0.00027260298637715984,-0.00043816700007509135,1.015049658306134,0.0,3.412302118321442e-05
SWX-BXS,1,2,1,-4807.807738411096,4,-1.331627893539952,9.067612237534949,0.0,0.0009856657582215447,0.9684271038027218,0.0,0.0004499662047620818,8.148328868513507e-05,1.0738002973738503,-0.0737708944139257,0.0001084687117215022
SWX-GRPN,1,1,2,-5158.83258346991,1,0.8852813091162898,-10.75825984972146,26.39156835134938,0.0007356372280808264,0.9875963152071189,0.0,0.00026177475758733135,-0.0015269052827434535,1.0190972060275456,0.0,1.959134986102853e-05
SWX-PWR,2,1,1,-4939.279800541178,2,0.09478331291732096,17.59327807878015,0.0,0.000675367489972812,0.9734198863234695,0.013720995566330885,0.00030374800710781245,-0.0006911521214416393,1.0156759026691566,0.0,5.0675282342729896e-05
SWX-AWI,1,2,2,-4853.138053396011,1,0.10816670812018256,11.977205339856448,-2.2078784109671723,0.000993394815066868,0.9876184504524003,0.0,0.0002987575750883106,-0.00093004518042979,1.1951229075748913,-0.19199504215482222,5.208813815812458e-05
SWX-WBS,2,2,1,-4871.421337764333,2,-0.03794790018881034,12.2763936452826,0.0,9.585828666429938e-05,1.1690821287998467,-0.19598490611487662,0.00029446627074866135,0.00036522843969494755,0.8617881399192839,0.1416705060926482,4.888299841819953e-05
SWX-PCH,1,1,2,-4845.471916353712,2,0.6897621763169361,14.955944372228636,7.573824088042839,0.0009350980381960634,0.9830630547486763,0.0,0.00037225992062783054,-0.0031411206079152948,1.0198526892399309,0.0,5.654767800340259e-05
SWX-NWE,2,1,1,-6200.296847919218,3,20.609997155097922,-140.61548531316208,0.0,1.925580975541824e-06,1.0344239700434699,-0.05714866342389158,0.00010523610141106828,0.3800746110360649,-1.9378433567210323,0.0,3.196292594984618e-28
SWX-UGI,2,1,2,-5224.950774397141,2,0.9797766755408138,15.0915950162542,-19.959000607027757,0.001017770844287726,0.9791427850649264,-0.004698869513681814,0.00015959849244064815,-0.001635951805779465,1.0006310027713028,0.0,3.38827475712324e-05
SWX-BC,1,1,1,-5019.822316116632,3,0.7118382848213722,27.024935487788525,0.0,0.0001464922176581091,0.9645189666797226,0.0,0.0002673039342403983,-6.529266469400361e-05,1.0068831723387162,0.0,5.173830518606092e-05
SWX-SAH,1,2,1,-4965.7421517371995,1,1.41560834341516,4.3383009317911005,0.0,0.0009735256587956472,0.9862350296646087,0.0,0.0002622884899310835,-0.0027563848650987953,1.6166638433320273,-0.6066201472949686,6.0589331345682126e-05
SWX-RPT,2,1,1,-5053.507504598946,2,0.4447875132878737,14.318784230678775,0.0,0.0002206933700457216,1.0108275813127854,-0.03768509171146661,0.00022735426735886314,-6.512453530166384e-05,1.0331655312112267,0.0,3.774605208169715e-05
HNI-NNI,1,2,1,-4590.236889129254,8,-3.012081200676338,5.1766325270020275,0.0,-0.0068161733417859555,0.9476340075459466,0.0,0.003223051842420141,0.0014914983029308618,0.9550511211103014,0.04726905370804246,0.0002940439713508256
HNI-CSGS,2,1,1,-4854.6991917891355,8,-3.6704833998592425,4.768649684668048,0.0,-0.007108458442195584,0.4580748268551815,0.4765005574027299,0.0038821699396238457,0.00020555612085612152,1.0059251947551524,0.0,0.000313607636176683
HNI-KFY,2,1,1,-4834.712832625431,8,-2.9673310408113442,3.7470629812174243,0.0,-0.012008912164285679,0.45512224786364186,0.49141890325019943,0.0026286821647369205,0.0008814969792086227,1.0036557273882403,0.0,0.0002636854041159594
HNI-NYT,1,2,1,-4866.369959323529,8,-3.4723928850551204,3.5278717473301198,0.0,-0.007314162395345297,0.9208988695315073,0.0,0.0030860613359076795,0.0009311077161682547,0.8988603213804964,0.10483342352289071,0.0002929574108002377
HNI-WIRE,1,2,1,-3950.6060969796126,2,1.2759595708258633,-0.9446617216734084,0.0,-0.001315343392929436,0.9852438658329109,0.0,0.0008952289582444544,0.005832533226159467,0.6126343695982115,0.4005667746069861,0.0001765187548993365
HNI-GBCI,2,1,2,-4911.602227141406,8,-3.125978296962178,-0.8959451175056734,5.46679319478287,-0.00592206354506275,0.6072044090292792,0.3537561777940965,0.0022174907051282044,0.0006851399493939397,1.0044822162358815,0.0,0.0002207909703111445
HNI-HI,1,2,2,-4974.781978629843,7,-3.9622857029280496,9.860606080865947,-4.327715123090996,0.011521277766109173,0.8841713276416672,0.0,0.0047353701016270835,-0.00024667032868722126,0.9161677111602273,0.08744442413289732,0.0002675809974117562
HNI-AEO,,,,,,,,,,,,,,,,
HNI-THG,1,1,2,-4895.585154672446,8,-3.2396449053093574,6.504434070599039,-2.6523462136156333,0.0001343540048575967,0.9153536785935583,0.0,0.0032694843117461454,-0.0004804147366715152,1.0038110266036977,0.0,0.00028590048642725553
HNI-X,2,1,1,-4024.0363945463814,4,-0.7966300208516326,7.018878316470496,0.0,0.0003784878694367798,0.8531082125501257,0.13805713134291864,0.000887006357636623,0.0010450014834698929,1.0058174624453642,0.0,0.000185398282105587
HNI-LZB,1,1,2,-4796.6072548450975,4,-2.9332048859176743,8.63973715647749,-5.234384302880397,-0.0018170621566978191,0.9392349965636664,0.0,0.002970814509955067,-6.299582043336247e-05,1.0010408196562814,0.0,0.0002730610242978035
HNI-WTM,2,1,1,-4462.254335167329,6,-2.763949924025838,3.0406582761090157,0.0,-0.0114149347839924,0.5972498394239665,0.3452848437879936,0.00302212843117894,0.0008789223242749223,1.0018364080152002,0.0,0.0004219143522668542
HNI-MTZ,,,,,,,,,,,,,,,,
HNI-SANM,,,,,,,,,,,,,,,,
HNI-KSS,1,2,1,-4423.182022884534,2,-2.751523935424652,4.390046591018981,0.0,0.0058487501354935745,0.8892623526859451,0.0,0.00436467813093004,-4.4035157366471844e-05,0.8312909352860061,0.17000927649187503,0.00038994499472997686
HNI-HOPE,2,2,1,-4875.3831362506135,8,-4.159320738680239,5.290046588386884,0.0,0.0020124333122785165,0.6329962310011439,0.3058181129086819,0.0034398864047572165,0.0004202156144417499,0.9465470784995489,0.05540820518395151,0.00031260545650182395
HNI-BLMN,1,1,2,-4606.984288188552,7,-3.4474583913355206,12.89794406571855,-8.306499841948641,-0.002513475156841069,0.9497489991066207,0.0,0.003032357493103876,0.0009257135651658402,1.000701625149001,0.0,0.00035547089407885016
HNI-FCF,1,2,1,-4767.872878080717,5,-3.1193630869454325,4.805748327674973,0.0,0.003176137735859251,0.9478994538359924,0.0,0.003253032040515802,-0.00039008398677588436,0.9802219698921419,0.019905204315257663,0.0002796557369245367
HNI-CRI,,,,,,,,,,,,,,,,
HNI-PBI,2,1,2,-4618.54820563848,8,-3.238121992133432,0.583513021738165,3.403360464788948,-0.0023237799200707607,0.32386908272164305,0.6289064760952812,0.0025086985560739935,0.0005215107917821114,1.0010121082665813,0.0,0.0003582373809306535
HNI-SJI,1,2,2,-4379.464171445646,4,-2.499493152953535,1.5273343075051473,2.146962810726453,-0.0036465205658338523,0.9775049758181991,0.0,0.0019848420366902564,0.0014968577404741654,0.9094182367122698,0.09081837326903042,0.0003189664660554052
HNI-ATO,1,2,1,-4778.1049628699775,8,-4.049175631201539,5.726743767403329,0.0,-0.0033050457238918574,0.919849864955038,0.0,0.004817680099062488,-0.0005865225284879053,0.933840936534807,0.06976513455406064,0.00039673568130350114
HNI-NRG,,,,,,,,,,,,,,,,
HNI-ZGNX,2,2,1,-4640.986702559461,3,8.03559116299311,-10.168341080918184,0.0,0.0008023525207891298,0.9462379626917539,0.04893216854009097,0.0006986279693127919,0.14110562753107603,-2.37062075959912,2.8521601611643916,1.6519806273745555e-05
HNI-ISBC,1,2,2,-4917.425407433953,8,-3.0380584571098512,12.41411521614687,-9.43416329359399,-0.009969969385151602,0.8968230286524153,0.0,0.0027469706621377483,0.00041669790381418034,0.9289918043419902,0.07739013912532755,0.00026085081694815395
HNI-UNFI,2,2,1,-4658.357728889705,7,-3.486030885081202,5.56912681166709,0.0,-0.005272030249578674,0.7387705363714616,0.22357340233683942,0.0023962469897753536,0.001628812088366488,0.8970671274980475,0.10465941687679958,0.00030378279162145816
HNI-AEL,2,1,2,-4876.508939120935,8,-2.733986441385102,53.97548177103993,-57.89521252135287,-0.017313230957022807,1.2405714948319115,-0.5246588872277584,0.0024327570847493727,0.0006657899148961858,1.0017726382824963,0.0,0.00031154120940644415
HNI-SBRA,2,1,2,-4302.447351558663,5,-2.2685570903345424,1.5530271935263587,1.7280993127261572,0.0019984204457657584,0.8003398468356266,0.15848661826069588,0.0022540723048636063,0.0002733158940749882,1.0006329973478982,0.0,0.0003561282891092837
HNI-FLO,1,1,2,-4714.473375889963,5,-3.725916323398299,39.95918628301807,-37.2617446492114,0.0003222857133046153,0.8918024365867556,0.0,0.0035812777168657602,0.0005083669736077722,1.0039167989410929,0.0,0.0003983502290421899
HNI-AZZ,2,1,1,-4797.517778408524,7,-2.7181428569495956,1.059653758313856,0.0,0.0037276268310072747,0.8470537678453667,0.08519402649329066,0.00480262969003609,-0.00038796195669464585,1.000878723718901,0.0,0.000285037769176008
HNI-ABM,1,1,2,-4869.091973431809,7,-2.7588114722827237,21.302430047318058,-18.069939110060243,-0.0057697471536693155,0.8736849528216559,0.0,0.0030462303880755643,0.0002614036247036779,1.0034375246691205,0.0,0.0002410180380873301
HNI-WMK,2,1,1,-4776.098007357185,7,-3.930145903797081,5.560904317538574,0.0,-0.004171278856969593,0.4888456614556844,0.4669893335554036,0.0030519840333363213,0.0007644920059578248,1.000994947580324,0.0,0.0003218191109219241
HNI-MOS,1,2,2,-3713.5765547166106,1,-0.8373501774662463,9.221177632191353,-7.554231124509184,-0.005528980398421597,0.9857996687477046,0.0,0.0016218481254092778,0.0034154864560300147,0.8957150399457632,0.1049804513569157,0.00039976506081834494
HNI-WWD,,,,,,,,,,,,,,,,
HNI-PLXS,1,2,2,-4886.091955476223,1,70.58298747315065,-190.1084754029886,34.38864118137775,4.2543681390010525e-05,0.9934287403487966,0.0,0.000553531634949213,0.6713828071951866,-6.166743248701096,5.921060509979725,6.790134911012369e-19
HNI-FLS,,,,,,,,,,,,,,,,
HNI-BXS,1,2,2,-4950.921914212372,8,-3.3187213492042438,1.0296669194458317,3.8106719941615173,-0.003853259068617415,0.9537206795150514,0.0,0.002817376870153936,0.00040122060496604025,0.9781842092786945,0.02500810776670903,0.00022382455472896013
HNI-GRPN,1,2,2,-4570.767784517299,2,3.8080833055401073,-37.82157238824788,38.852606992713966,0.001044793143908919,0.9983588219100125,0.0,0.0006198326662133575,-0.015692041052128264,1.932418078025954,-1.2720218930440481,0.0016448734662835947
HNI-PWR,1,2,2,-3739.9984503893425,3,-1.1639129182443246,8.965481788695477,-6.274573352798005,-0.003505251439634899,0.982804121876706,0.0,0.0016934921024887922,0.0025598457993641632,0.9005570293080538,0.09951244280070881,0.00041454116850407727
HNI-AWI,1,2,2,-4192.6892368123235,6,-1.7889115497573158,2.982689101346452,0.6670379518416167,-0.0018699340355759625,0.9847153839954758,0.0,0.0013694675010494596,0.0016869988414272633,0.8981359582042785,0.10263231733458156,0.00026174249477980646
HNI-WBS,1,1,2,-4969.092188232311,8,-2.9202311822888145,4.42524422630232,-0.61669628901892,-0.00480728769990775,0.9396095200752467,0.0,0.0027955198384091743,4.1889902487238836e-05,1.003081166059828,0.0,0.00022490099035832396
HNI-PCH,1,2,1,-4620.6420475499,1,5.255511786212948,1.393079457770455,0.0,-0.0002177165680107584,0.9919473633662261,0.0,0.0009127359697694667,0.16307595877000747,0.9033621000870369,0.4383081316625095,8.959927645540071e-30
HNI-NWE,1,1,1,-4917.4545312323735,7,9.595779139717632,-17.659237737385105,0.0,-0.0008223774373597424,0.9930586978266601,0.0,0.0005858107917184187,0.25285822417806303,1.5291075471446884,0.0,9.340760230278268e-33
HNI-UGI,2,1,2,-4645.549102941252,8,-2.6070448201818373,18.16719929860917,-16.844176988911745,-0.0005865108506251208,0.7619000637800895,0.12911738521989946,0.002806610491525502,-0.00012418368618698932,1.0016246102091781,0.0,0.00034310392195384745
HNI-BC,2,2,2,-4711.664445433283,8,2.747911369660066,6.690737503212601,-8.746261080574591,0.0004962471952993201,0.9660412877849893,0.03949258908296116,0.00033490269482845024,-0.011735135824622552,-0.19913708373417194,0.9747955713107253,0.0022631471988383205
HNI-SAH,1,2,1,-4660.462556706189,5,-3.4139372352651023,0.8589307049801573,0.0,0.0006528456568639582,0.8199741481386968,0.0,0.004466892717895874,0.0004936852177692339,0.8989526169879127,0.10144812267752457,0.0004767332649699701
HNI-RPT,1,2,1,-4443.445014736003,1,2.7678024913158885,1.4291981221369985,0.0,-0.0004274306075268586,0.9841214028063618,0.0,0.0006690132313518207,-0.002860874958242259,0.8084557251187015,0.19445078981746278,0.00027159629556300124
NNI-CSGS,,,,,,,,,,,,,,,,
NNI-KFY,,,,,,,,,,,,,,,,
NNI-NYT,1,1,2,-4865.211864264443,3,-2.1295675574437642,-11.10906260232978,12.165436418319551,0.006309322724408412,0.9235581193023292,0.0,0.0015265150559170275,-0.0009222144440733833,1.0004152707097844,0.0,0.00020713709901170555
NNI-WIRE,,,,,,,,,,,,,,,,
NNI-GBCI,2,2,1,-5264.7591319510175,1,7.253612996915266,-12.920252842927361,0.0,9.482980715535584e-05,1.0414665618119798,-0.05045721319370955,0.00030157898288224054,-0.08630346971427905,2.4412818057284653,-1.6476126881304367,6.92324774283143e-05
NNI-HI,,,,,,,,,,,,,,,,
NNI-AEO,1,2,2,-4020.2964175633997,1,-0.06994461791712969,6.339538558687215,-7.246655172910639,-0.0013272630526077807,0.9661936398862107,0.0,0.0008976145066373693,0.00124901813492489,1.0190393756737848,-0.01638753946615168,0.00022420670277718542
NNI-THG,,,,,,,,,,,,,,,,
NNI-X,,,,,,,,,,,,,,,,
NNI-LZB,,,,,,,,,,,,,,,,
NNI-WTM,,,,,,,,,,,,,,,,
NNI-MTZ,,,,,,,,,,,,,,,,
NNI-SANM,,,,,,,,,,,,,,,,
NNI-KSS,,,,,,,,,,,,,,,,
NNI-HOPE,,,,,,,,,,,,,,,,
NNI-BLMN,,,,,,,,,,,,,,,,
NNI-FCF,,,,,,,,,,,,,,,,
NNI-CRI,,,,,,,,,,,,,,,,
NNI-PBI,,,,,,,,,,,,,,,,
NNI-SJI,,,,,,,,,,,,,,,,
NNI-ATO,2,1,2,-4511.198282970822,1,1.0450269905065,3.6429231745819504,-5.416938664638636,0.0003594890643327012,1.01917008692579,-0.03249208539983073,0.0005309918040438866,-0.0009989508205824624,1.0029063175022537,0.0,4.7681370957009535e-05
NNI-NRG,,,,,,,,,,,,,,,,
NNI-ZGNX,,,,,,,,,,,,,,,,
NNI-ISBC,,,,,,,,,,,,,,,,
NNI-UNFI,,,,,,,,,,,,,,,,
NNI-AEL,,,,,,,,,,,,,,,,
NNI-SBRA,,,,,,,,,,,,,,,,
NNI-FLO,,,,,,,,,,,,,,,,
NNI-AZZ,,,,,,,,,,,,,,,,
NNI-ABM,,,,,,,,,,,,,,,,
NNI-WMK,,,,,,,,,,,,,,,,
NNI-MOS,,,,,,,,,,,,,,,,
NNI-WWD,,,,,,,,,,,,,,,,
NNI-PLXS,,,,,,,,,,,,,,,,
NNI-FLS,,,,,,,,,,,,,,,,
NNI-BXS,,,,,,,,,,,,,,,,
NNI-GRPN,,,,,,,,,,,,,,,,
NNI-PWR,,,,,,,,,,,,,,,,
NNI-AWI,,,,,,,,,,,,,,,,
NNI-WBS,,,,,,,,,,,,,,,,
NNI-PCH,,,,,,,,,,,,,,,,
NNI-NWE,2,1,2,-4345.608249739956,1,0.36448684909046675,8.09443171070049,-9.258684551611204,0.0014856133221025653,1.023747511455106,-0.04941139304697373,0.0005884715199429344,-0.0020573264725541234,1.0105846100935931,0.0,0.00010534079962734004
NNI-UGI,,,,,,,,,,,,,,,,
NNI-BC,2,2,2,-4974.46633634543,1,3.159607472108113,15.298199249250306,-19.894539100746382,-1.5747052611429736e-05,1.0274049607706388,-0.0381254242281841,0.00038971526887455815,-0.0007595446366430725,1.1179958179308471,-0.10901297485163752,4.259317949011251e-06
NNI-SAH,,,,,,,,,,,,,,,,
NNI-RPT,2,1,2,-4390.96994358597,3,0.7198924054649682,2.656668921523753,-4.475765085175025,0.0016878912909273243,1.0244434586350408,-0.04251324813070312,0.00056135755550379,-0.0034116299343363364,1.0005916107839272,0.0,7.995281647555991e-05
CSGS-KFY,2,1,1,-4337.7322060501665,1,-0.4008273758338624,1.8897687455985355,0.0,0.0010164746122073472,0.9000782803816101,0.06666897000898686,0.0009489824394133846,0.000329797155160033,1.0044861071001248,0.0,0.00010588195011450202
CSGS-NYT,2,2,1,-4753.120315400056,2,2.296782341493239,-0.33301033705116856,0.0,0.0011600227325013687,0.9613093265121648,0.03599493045504687,0.0002646705572648134,-0.002068917624675745,0.8588615650874942,0.14252485147155625,0.0029634881850359018
CSGS-WIRE,2,1,2,-5088.564479271691,7,3.135831791104332,-28.17182463547115,26.8638289074034,0.0008298482497796217,1.0274809122729778,-0.02939941829541226,0.00021993325292953792,0.007098424006694332,1.0007661772264618,0.0,0.0035220117851616555
CSGS-GBCI,1,2,2,-5000.0716260068975,3,3.34350444193592,-27.422772970575156,28.109801406310776,-0.00039583719773741955,0.9954375373008312,0.0,0.0003033375517444656,0.02614185885507906,0.5432786336601403,0.483193988349063,0.004051218476184319
CSGS-HI,1,1,2,-4950.63141519634,8,-3.2960891021809187,6.469052618787654,-3.7221738064412135,0.012199508942158814,0.9279001834274452,0.0,0.004963172885339681,0.0003566428230946028,1.0014252204318241,0.0,0.0002656386149865748
CSGS-AEO,2,1,2,-4902.882759572523,7,3.9877669513122314,32.14377575936601,-34.5846315395663,0.0010716903292047053,0.9397556246935324,0.05650980571886066,0.0003425925644771721,0.006513772928864528,1.0156257408517895,0.0,0.004990863317238354
CSGS-THG,,,,,,,,,,,,,,,,
CSGS-X,2,2,2,-4850.965750504365,2,3.3743324582388268,29.750084978475375,-29.78704428325367,0.000851771286323022,0.9706190544501823,0.024385663006626146,0.0003581776148419138,0.009404127879372035,1.2876855243602563,-0.27484547927910796,0.0047968387338274
CSGS-LZB,1,2,2,-4037.6531005538477,3,1.5745792900790863,-1.9479364079026817,2.1134298639199716,0.0007316124622953347,0.9897687878428072,0.0,0.000609604541216737,0.00021951336912182096,0.993342027498155,0.012996595388077736,0.0009206040777194137
CSGS-WTM,,,,,,,,,,,,,,,,
CSGS-MTZ,1,2,1,-4580.288656350993,3,4.050096120673131,-2.243121838554078,0.0,0.0008629659432703577,0.9897645039266627,0.0,0.0005905370151700351,0.008448686263260313,1.8567726612637898,-0.8472943014777385,0.006799674534651279
CSGS-SANM,2,2,2,-4947.160734358853,5,12.730248198658732,-42.00898497085407,18.55109038743695,0.0011949013027936876,1.0125106496434242,-0.013777998681135273,0.000591236854553845,-0.3511165868046926,1.7187510543552058,-0.07484216069108385,6.222679650315169e-29
CSGS-KSS,1,1,2,-4833.254231354522,8,3.001234427931083,14.5979357978291,-17.119360501523413,-0.00032946652054195204,0.9933318624678592,0.0,0.0002788513174180415,0.017086368199596177,1.0144016700545104,0.0,0.003252537108193267
CSGS-HOPE,,,,,,,,,,,,,,,,
CSGS-BLMN,2,1,1,-5053.636142525344,3,66.52067633360807,-112.03123226480011,0.0,0.001491618602254191,1.006695114109391,-0.008475237309312433,0.000489170096886221,-0.36299706934482856,1.49479095490517,0.0,1.194261454794748e-27
CSGS-FCF,2,2,1,-4792.076513059623,1,18.93147797943966,-56.329832295130956,0.0,0.0006018675666141851,0.9051173508669237,0.07730124925877391,0.0007117559714949173,-0.6011722981432968,-1.2098440475796792,0.196818990787051,3.280939270370122e-27
CSGS-CRI,2,1,2,-4719.43780245396,7,-3.1506610687051047,-12.975589880430668,19.301510640957176,0.013031206631591484,0.8840096384173606,0.046671532613281386,0.003106988302610589,-0.00020553168221615695,1.0004063607801725,0.0,0.00028526703620588027
CSGS-PBI,2,2,2,-4658.508449460564,4,1.9441414615560102,-5.924226356469251,3.7427889456429693,-6.84615484541802e-05,1.015978450447676,-0.01824887681223686,0.00018725752076925611,0.005915061980384245,0.8518088773697983,0.14957816334300844,0.0018822723815345222
CSGS-SJI,2,1,2,-4362.316878808971,6,3.467066873035483,-25.542797340161048,26.248471694086028,0.0013879446626996542,0.9186486691289062,0.06809307829328048,0.0007357185017736579,-0.0021968532948275776,1.038930305466798,0.0,0.006787019606758878
CSGS-ATO,,,,,,,,,,,,,,,,
CSGS-NRG,2,1,1,-4846.589618746323,1,8.03067965637468,-7.952095303319108,0.0,0.0012032280994712652,1.0071701729829101,-0.015701639971183567,0.0006309781260482007,-0.3565606396431349,1.786103553728708,0.0,1.3648834404272936e-28
CSGS-ZGNX,2,1,2,-4950.008909880886,6,3.161569592959002,18.86555919203489,-19.905184258077764,0.0009030625519633739,0.9334882035044245,0.062230710592160676,0.0002803528873081871,0.008696482036301162,1.0210913139817437,0.0,0.003883245382976472
CSGS-ISBC,,,,,,,,,,,,,,,,
CSGS-UNFI,2,1,2,-4974.3786712587935,3,3.565599498650213,24.477231281280158,-26.534756682139356,0.0009395568200183113,0.9520540292992052,0.04440394699896899,0.0002857971592540272,0.010020981649280572,1.0049305183507073,0.0,0.004257814169936986
CSGS-AEL,1,1,2,-4896.952833610083,8,-2.75009249959973,5.801842774820001,-3.282809858001092,0.008902532639877878,0.9334160368855816,0.0,0.0036069671292974503,0.0001272889193349308,1.002680955407091,0.0,0.00024372661718589364
CSGS-SBRA,1,2,1,-4305.111718483797,1,-0.25938854833129044,0.7885024500478741,0.0,0.0012191603737817351,0.9954414329048671,0.0,0.0008683013760311381,0.0015142859480025694,1.0105525672150293,-0.009956918807375814,0.00010699640003293117
CSGS-FLO,2,2,1,-4489.631006290813,2,8.54585168633612,-19.143710465539304,0.0,0.0005407095556447111,0.9458285932262811,0.04524894495497023,0.0008283458875386848,0.017511156907023404,1.3340246970838052,-0.30050246393844304,2.5150316548828512e-05
CSGS-AZZ,2,2,1,-3888.443023617094,1,-0.8570189403756963,0.546423881709574,0.0,0.001554972257255361,0.9210141765840145,0.007846192623006232,0.00267130701013677,0.00013670654411359826,0.9873487822539389,0.013354260641623483,0.0002855350442521587
CSGS-ABM,2,2,1,-4834.581506996844,6,-3.2134301037972377,7.454011900867787,0.0,0.018119103000948742,0.9018571279250942,0.04003680429430645,0.0030100648429220544,-0.0007423272321124552,1.006455953878291,-0.006138221852790338,0.0002598378412183603
CSGS-WMK,,,,,,,,,,,,,,,,
CSGS-MOS,1,2,1,-4367.404830167793,4,3.400015681176137,8.588610776281035,0.0,0.0010401012826610095,0.9729510185993127,0.0,0.0009002883027343548,-0.10974652120775419,-0.16849564557574137,2.4319001799049387,0.0011744637646094243
CSGS-WWD,1,2,1,-4316.096195230998,1,2.297889348180173,1.8906298163176212,0.0,0.0008024998580877711,0.9910288778815349,0.0,0.0006650423145555282,0.0014286803260591188,0.9674527556434924,0.033789998941443855,0.0008566706181718656
CSGS-PLXS,2,2,2,-5004.81616693228,8,3.2540948858359915,30.60641730268326,-33.29077531969274,0.0002375713848427191,0.9301767652335826,0.06308887141904762,0.00024018048220981173,0.005366147333152216,1.571801125095675,-0.5013120163061018,0.0039905866905295745
CSGS-FLS,1,1,2,-4207.405245803982,2,0.6759096796959374,0.3498770066564507,-0.5349066601433989,0.0003868780050628271,0.9915135319999675,0.0,0.0007852975791817048,0.003276937754911124,1.0034539077948836,0.0,8.188246312395367e-05
CSGS-BXS,,,,,,,,,,,,,,,,
CSGS-GRPN,2,1,2,-4000.9537231508916,3,0.5038692781603413,-2.8820667594952116,2.1846074081226816,-0.0002724728646756047,0.9275669317406994,0.060127557360786454,0.0009606117937394626,0.003726096213983997,1.0011637012883186,0.0,0.00014286628678447443
