,m1,m2,n,BIC,$\delta_0$,$\delta_1$,$\delta_2$,Spread SD,SD($\delta_0$),SD($\delta_1$),SD($\delta_2$),num_conv
BANR-SAH,1.0,2.0,2.0,-4593.051956457779,-1.6456723194599507,-27.855401969139507,28.02178966464153,0.1967681976423163,0.16097010029856887,0.819418796970104,0.8898657546338472,7
MAC-BHE,2.0,2.0,1.0,-5477.148263740714,-5.412515920384041,12.966955220832721,0.0,0.21020138124197718,0.0030825274855264314,0.0032613668439471556,inf,10
MAC-AROC,1.0,2.0,2.0,-5052.95376276768,-2.784659929761694,-1.612913688335902,5.210735726220324,0.20997005771004737,0.0004595027895303205,0.0055154672616167105,0.005693059041188014,10
MAC-NFG,2.0,1.0,1.0,-4604.901710521141,-1.406421184047588,2.9516833608833744,0.0,0.20749296520595784,0.013293614185558609,0.000529693531653429,inf,6
MAC-AIN,1.0,1.0,2.0,-5020.855451931494,-4.417041897375315,-5.1842196951378625,14.733554438446264,0.1878057754786047,0.0006374188295424037,0.005959607884452315,0.006059961466008836,10
MAC-CFR,1.0,1.0,2.0,-5320.285731072123,-5.635279664057602,-7.817375706017648,22.002103760653398,0.21571050229892774,0.0005476519435727805,0.004666171656557699,0.005344911213657489,10
MAC-PII,1.0,1.0,2.0,-5230.806419475299,-4.011226341416194,-17.46258714661805,26.615451515918284,0.20239396889246863,0.013221769107396706,0.05936491552923586,0.08820688620326937,10
MAC-SWBI,2.0,1.0,1.0,-5055.677951427024,-2.585801426369061,3.4341029612044363,0.0,0.18425848010055326,1.5099694332625433,0.4294094160495348,inf,8
MAC-LPLA,2.0,1.0,1.0,-5364.962627013045,-4.310246882039143,8.728034597599985,0.0,0.21112047001832904,0.005707493715104683,0.004987816365485049,inf,10
MAC-UVV,2.0,2.0,1.0,-5277.374638563791,-4.6813553857737285,11.029486873489438,0.0,0.21822309429852738,0.13505952146859693,0.17302819766685598,inf,9
MAC-MOH,1.0,2.0,2.0,-5303.125180537209,,,,0.10900225315823459,,,,0
MAC-SHOO,2.0,2.0,1.0,-5166.544196189709,-3.9001649931888114,7.986820917674346,0.0,0.20675185284505085,0.007174938411280319,0.007381749150356108,inf,10
MAC-HOG,1.0,1.0,2.0,-5006.725833323796,-3.9205276402162896,-0.16301462191855487,8.898767379470142,0.21617614858650658,0.0005305152718288148,0.003945883325552807,0.004414117450661597,10
MAC-EBIX,1.0,2.0,1.0,-5016.361474845787,-2.636360191559996,4.6457311906181715,0.0,0.12261183135319088,0.005244260237344419,0.00921121822863731,inf,10
MAC-SITC,2.0,1.0,2.0,-5727.602155956124,-4.973693310470269,-10.518379447627233,20.50851432260755,0.2000323017850295,0.0013077017719318336,0.008174641446091686,0.006684923058311567,10
MAC-NNI,1.0,2.0,2.0,-5227.009918411994,-4.216890827437384,-7.756137325187595,16.363946678106306,0.20618467705968851,0.013139789146158456,0.09687486151691839,0.07746491132988509,10
MAC-CSGS,1.0,1.0,2.0,-5167.482179696844,-3.1531668232643812,-32.09667850484221,35.73344383877813,0.1618484227205456,0.0011005399573089387,0.0029145480036427743,0.0045191483279928375,9
MAC-NYT,1.0,1.0,2.0,-5362.917419685031,-5.386194275686448,-16.84471803394638,28.47817604810061,0.21102766741375922,0.024831050869340635,0.0020926371959803375,0.048634115639082126,10
MAC-GBCI,1.0,1.0,2.0,-5280.837725778503,-4.917172294930008,-4.6458257162138565,14.571382368696783,0.19641676123239027,0.0015119333033828909,0.0037067164660156676,0.0067529025008012345,10
MAC-HI,1.0,1.0,1.0,-5155.595055337694,-4.746841050764831,11.58046134252873,0.0,0.1792370473054165,0.0033407292852387165,0.00770712143042348,inf,9
MAC-AEO,1.0,1.0,2.0,-5321.125130639309,-4.885710006792345,-6.83535989534304,17.96797024834686,0.21595892418523047,0.0013465497082098038,0.0043081834917384565,0.0069968847783488846,10
MAC-X,2.0,2.0,1.0,-4921.445426862754,-3.1241832714148976,5.487378765237212,0.0,0.2120367581613682,0.02011809156493526,0.02612243710502011,inf,10
MAC-KSS,1.0,2.0,2.0,-5065.765647724606,-2.844551219900829,11.885098494473977,-8.763760111277005,0.1798964570643726,0.05908081674586316,0.2192862617443329,0.17626979552172103,10
MAC-HOPE,2.0,2.0,2.0,-5228.976485550048,-4.755439992575415,-0.7973866220210053,9.74630147857849,0.20796644430132682,0.13733327836929515,7.451459084405475,8.540761367347521,8
MAC-BLMN,2.0,1.0,1.0,-5301.084753381336,-4.714730077374824,11.375223530459694,0.0,0.21823228037791376,0.006481785583555473,0.0062828422562943385,inf,9
MAC-PBI,1.0,1.0,2.0,-5375.657385289109,-6.334368334743042,-20.273076240919206,36.10698516523314,0.20405758322995557,0.001395649905651986,0.0037277324657541723,0.007761141701900102,10
MAC-SJI,1.0,1.0,2.0,-4995.296190299377,-4.144002529830297,-1.8789608244541904,11.287911602528952,0.2175605874980051,0.0017787972668673057,0.002297750879306396,0.005686210225665858,10
MAC-ZGNX,1.0,2.0,2.0,-4801.044834688767,-2.9061453811139595,-11.097629405905325,15.61462748375634,0.20154628773271863,0.039930791973973964,0.16705394630650355,0.22461536958463024,9
MAC-UNFI,1.0,1.0,2.0,-5312.916412391538,-5.420400683005587,-11.42824931974808,24.56115427525721,0.21824720961088406,0.019601272029200225,0.14269946448458293,0.17606067515711765,10
MAC-AEL,1.0,1.0,2.0,-5009.880380537429,-1.6924743154434545,-4.0995260069046635,1.404684084013649,0.15100959563117242,0.004118300091425328,0.0035473195509517566,0.007658675426402385,10
MAC-SBRA,1.0,2.0,2.0,-5320.831161487425,-3.408424106553146,-27.844511034005833,33.24672603562,0.19365107812593543,0.010003488041201132,0.08179457494486626,0.0855191286285554,9
MAC-FLO,2.0,1.0,2.0,-5110.696678902499,-3.593848116390254,3.2084256177019657,2.5517638077282294,0.1968880151483993,0.04530752613681888,0.5514028307852139,0.59053097337156,9
MAC-WMK,1.0,2.0,1.0,-5367.329806107088,-4.85810233829702,11.570883576355456,0.0,0.21792001482839587,0.0936372406813301,0.14686688377900547,inf,9
MAC-MOS,2.0,1.0,2.0,-4510.969672432528,-1.6495813301841573,7.436492256235158,-5.743596809161564,0.19715114140707835,0.000718286671439099,0.004217453000367213,0.005650544592054718,10
MAC-PLXS,1.0,1.0,1.0,-5350.215303979673,-5.292150402448636,11.26387407280644,0.0,0.20110907321510366,0.011768154048794617,0.005868395129535649,inf,10
MAC-BXS,2.0,2.0,2.0,-5186.143054536924,-4.16108067651334,-4.891984638195485,11.77437637117157,0.18793090199323254,0.0007722640967196255,0.00657033969618367,0.007654546134513832,10
MAC-AWI,1.0,1.0,1.0,-4948.622963749816,-2.628851413726879,7.594966418179348,0.0,0.21704875647858518,0.024578695011780487,0.005714419804650248,inf,10
MAC-PCH,2.0,2.0,1.0,-4329.239639836487,-0.5391949774386364,4.11269401748017,0.0,0.20417863494838057,0.07122238876662332,0.005857655102984693,inf,10
MAC-SAH,1.0,2.0,2.0,-4815.707747239042,-4.338992209560167,3.1716302881921274,4.455592263316991,0.20583928111782268,0.0015946549271574622,0.000812074391131312,0.004146269193244667,10
ASH-CFR,2.0,2.0,2.0,-5241.091483542895,-3.1006088446806785,13.324932442056244,-8.39333225384443,0.1623570666539187,0.07880627463630561,0.6705534748638484,0.8672740283521659,8
ASH-PII,2.0,1.0,2.0,-5181.676434393114,2.1846613972285382,10.120713138741788,-15.999016280213128,0.13067944228900794,0.10716684390166716,1.0379005593002022,1.0586507629887578,4
ASH-SWBI,1.0,2.0,1.0,-5223.127720350475,-1.5284016749788687,-0.4916036116945934,0.0,0.1669068486650062,0.8164364344337637,1.506307042996227,inf,9
ASH-X,1.0,1.0,1.0,-5272.776147245539,-2.136949623074186,1.2552484633696752,0.0,0.19035715197701253,0.15510637289876145,0.16529367677247966,inf,3
ASH-UNFI,1.0,1.0,1.0,-5323.160042172954,-2.503394782553344,4.561714621345558,0.0,0.17846546459361168,0.46215250006720315,0.39078761382309746,inf,8
ASH-SBRA,2.0,2.0,1.0,-4810.498471901391,-2.0025473909918636,2.8747631239772184,0.0,0.1558731440593094,0.3503672559657894,0.059551135510591165,inf,7
ASH-NWE,2.0,2.0,2.0,-4931.629691912934,-2.2237922505235304,7.933598531714367,-0.7780879413493935,0.0940782455006781,0.3705076555590679,0.9970186383494777,0.5131324781457726,10
CRS-SAFT,1.0,2.0,1.0,-4960.841546938967,-2.14329981782699,4.683973755393447,0.0,0.16381801322412287,0.7180655100701704,0.8494605817458134,inf,9
CRS-BHE,2.0,1.0,1.0,-5185.691592812223,-2.687086422467332,4.836684919223826,0.0,0.17705850310870916,0.13060464991059773,0.09136700884552276,inf,9
